HSK Level,Word,Pronunciation,Definition
6,??,gong1 dian4,palace; CL:?[zuo4]
6,??,gong1 fu5,time; skill
5,??,gong1 fu5,skill; art; kung fu; labor; effort
6,??,gong1 gao4,post; announcement
2,????,gong1 gong4 qi4 che1,"bus; CL:?|?[liang4],?[ban1]"
6,??,gong1 guan1,public relations
6,??,gong1 ji1,to attack; to accuse; to charge; an attack (terrorist or military)
6,??,gong1 ji3,to furnish; to provide; supply (as in supply and demand)
2,??,gong1 jin1,kilogram (kg)
6,??,gong1 jing4,deferential; with respect
4,??,gong1 ju4,tool; instrument; utensil; means (to achieve a goal etc)
5,??,gong1 kai1,public; to publish; to make public
6,??,gong1 ke4,homework; assignment; task; classwork; lesson; study; CL:?|?[men2]
6,??,gong1 ke4,to capture; to take
6,??,gong1 lao2,contribution; meritorious service; credit
4,??,gong1 li3,kilometer
6,??,gong1 min2,citizen
5,??,gong1 neng2,function; capability
5,??,gong1 ping2,fair; impartial
6,??,gong1 po2,husband's parents; parents-in-law
6,??,gong1 ran2,openly; publicly; undisguised
5,??,gong1 ren2,"worker; CL:?|?[ge4],?[ming2]"
6,??,gong1 ren4,publicly known (to be); accepted (as)
6,??,gong1 shi4,formula
2,??,gong1 si1,(business) company; company; firm; corporation; incorporated; CL:?[jia1]
6,??,gong1 wu4,official business
6,??,gong1 xiao4,efficacy
5,??,gong1 ye4,industry; CL:?|?[zhong3]
6,???,gong1 yi4 pin3,handicraft article; handiwork; CL:?|?[ge4]
5,??,gong1 yu4,apartment building; block of flats; CL:?|?[tao4]
5,??,gong1 yuan2,(year) AD; Christian era
3,??,gong1 yuan2,public park; CL:?|?[chang3]
6,??,gong1 zheng4,just; fair; equitable
6,??,gong1 zheng4,notarization; notarized; acknowledgement
5,??,gong1 zhu3,princess
4,??,gong1 zi1,"wages; pay; CL:?|?[ge4],?[fen4],?[yue4]"
1,??,gong1 zuo4,"job; work; construction; task; CL:?|?[ge4],?[fen4],?|?[xiang4]"
6,??,gong3 gu4,to consolidate; consolidation; to strengthen
6,???,gong4 he2 guo2,republic
6,??,gong4 ji4,to sum up to; to total
6,??,gong4 ming2,physical resonance; sympathetic response to sth
4,??,gong4 tong2,common; joint; jointly; together; collaborative
5,??,gong4 xian4,to contribute; to dedicate; to devote; contribution; CL:?|?[ge4]
6,??,gou1 jie2,to collude with; to collaborate with; to gang up with
5,??,gou1 tong1,communicate
6,??,gou1 zi5,hook
1,?,gou3,"dog; CL:?|?[zhi1],?|?[tiao2]"
4,?,gou4,to reach; to be enough
5,??,gou4 cheng2,to constitute; to form; to compose; to make up; to configure (computing)
6,??,gou4 si1,to outline a story; to make a preliminary sketch
4,??,gou4 wu4,shopping
4,??,gu1 dan1,lone; lonely; loneliness
6,??,gu1 du2,lonely; solitary
6,??,gu1 fu4,to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint
5,??,gu1 gu5,paternal aunt; CL:?|?[ge4]
4,??,gu1 ji4,to estimate; to reckon; CL:?|?[ge4]
6,??,gu1 li4,isolate; isolated
5,??,gu1 niang5,girl; young woman; young lady; daughter; CL:?|?[ge4]
6,??,gu1 qie3,temporarily; the time being; for the moment; provisional; tentatively
5,??,gu3 dai4,ancient times; olden times
5,??,gu3 dian3,classical
6,??,gu3 dong1,shareholder; stockholder
6,??,gu3 dong3,curio; antique
6,??,gu3 dong4,to agitate; to arouse; to instigate; to encite
6,??,gu3 fen4,a share (in a company); stock
6,??,gu3 gan4,diaphysis (long segment of a bone); fig. backbone
6,??,gu3 guai4,eccentric; grotesque; oddly; queer
5,??,gu3 lao3,ancient; old; age-old
4,??,gu3 li4,to encourage
5,??,gu3 piao4,share; stock (market)
5,??,gu3 tou5,"bone; strong character; CL:?[gen1],?|?[kuai4]"
5,??,gu3 wu3,heartening (news); boost (morale); CL:?|?[ge4]
4,??,gu3 zhang3,to applaud; to clap
5,??,gu4 ding4,fixed; set; regular
4,??,gu4 ke4,client; customer; CL:?[wei4]
6,??,gu4 lv4,misgivings; apprehensions
6,??,gu4 ran2,admittedly (it's true that...)
5,??,gu4 shi5,story; tale; narrative
5,??,gu4 ti3,solid
6,??,gu4 wen4,adviser; consultant
6,??,gu4 xiang1,home; homeland; native place; CL:?|?[ge4]
4,??,gu4 yi4,deliberately; on purpose
5,??,gu4 yong1,to employ; to hire
6,??,gu4 you3,intrinsic to sth; inherent; native
6,??,gu4 zhang4,malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software)
6,??,gu4 zhi5,persistent; stubborn
3,??,gua1 feng1,to be windy
4,?,gua4,to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects
5,??,gua4 hao4,to register (a letter etc)
5,?,guai1,"(of a child) obedient, well-behaved; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal"
5,??,guai3 wan1,to go round a curve; to turn a corner; fig. a new direction
6,??,guai3 zhang4,crutches; crutch; walking stick
5,???,guai4 bu5 de5,lit. you can't blame it!; no wonder!; so that's why!
3,?,guan1,mountain pass; to close; to shut; to turn off; to concern; to involve
5,?,guan1,official; government; organ of body; CL:?|?[ge4]
5,??,guan1 bi4,to close; to shut
5,??,guan1 cha2,to observe; to watch; to survey; to examine; observation; view; perspective; CL:?|?[ge4]
5,??,guan1 dian3,point of view; viewpoint; standpoint; CL:?|?[ge4]
6,??,guan1 fang1,official; (by the) government
6,??,guan1 guang1,to tour; sightseeing; tourism
5,??,guan1 huai2,care; solicitude; to show care for; concerned about; attentive to
4,??,guan1 jian4,crucial point; crux; CL:?|?[ge4]; key; crucial; pivotal
5,??,guan1 nian4,notion; thought; concept; sense; views; ideology; general impressions
3,??,guan1 xi4,relation; relationship; to concern; to affect; to have to do with; guanxi; CL:?|?[ge4]
3,??,guan1 xin1,to care for sth; caring; concerned
3,??,guan1 yu2,pertaining to; concerning; regarding; with regards to; about; a matter of
6,??,guan1 zhao4,to take care; to keep an eye on; to look after; to tell; to remind
4,??,guan1 zhong4,spectators; audience; visitors (to an exhibition etc)
4,??,guan3 li3,to supervise; to manage; to administer; management; administration; CL:?|?[ge4]
6,??,guan3 xia2,to administer; to have jurisdiction (over)
5,??,guan3 zi3,tube; pipe; drinking straw; CL:?[gen1]
6,?,guan4,can; jar; pot
6,??,guan4 che4,to implement; to put into practice; to carry out
6,??,guan4 gai4,to irrigate
5,??,guan4 jun1,champion; CL:?|?[ge4]
6,??,guan4 li4,conventional
5,??,guan4 tou5,tin; can; CL:?|?[ge4]
4,?,guang1,light; ray; CL:?[dao4]; bright; only; merely; to use up
6,??,guang1 cai3,luster; splendor; radiance; brilliance
5,??,guang1 hua5,glossy; sleek; smooth
6,??,guang1 hui1,radiance; glory; brilliant; magnificent
5,??,guang1 lin2,(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.
6,??,guang1 mang2,rays of light; brilliant rays; radiance
5,??,guang1 ming2,light; illumination; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted
5,??,guang1 pan2,"compact disc; CD or DVD; CD ROM; CL:?[pian4],?|?[zhang1]"
5,??,guang1 rong2,honor and glory; CL:?|?[ge4]
4,??,guang3 bo1,broadcast; widely spread; CL:?|?[ge4]
5,??,guang3 chang3,a public square (e.g. Tiananmen Square); plaza; CL:?|?[ge4]
5,??,guang3 da4,(of an area) vast or extensive; large-scale; widespread; (of people) numerous
5,??,guang3 fan4,extensive; wide range
4,??,guang3 gao4,to advertise; a commercial; advertisement; CL:?|?[xiang4]
6,??,guang3 kuo4,wide; vast
4,?,guang4,to stroll; to visit
4,??,gui1 ding4,provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:?|?[ge4]
6,??,gui1 fan4,norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify
6,??,gui1 ge2,standard; norm; specification
6,????,gui1 gen1 dao4 di3,(saying) to sum it up...
6,??,gui1 hua4,plan; program
6,??,gui1 huan2,to return sth; to revert
5,??,gui1 ju5,lit. compass and set square; fig. established standard; rule; customs; practices; fig. upright and honest; well-behaved
5,??,gui1 lv4,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline
5,??,gui1 mo2,scale; scope; extent; CL:?|?[ge4]
6,??,gui1 na4,to sum up; to summarize; to conclude from facts; induction (method of deduction in logic)
5,??,gui1 ze2,rule; regulation; rules and regulations
6,??,gui1 zhang1,rule; regulation
6,??,gui3 dao4,orbit; railway or tram line; fig. conventional way of thinking
2,?,gui4,expensive; noble; your (name); precious
6,?,gui4,kneel
5,??,gui4 tai2,sales counter; front desk; bar
6,??,gui4 zu2,lord; nobility; nobleman; noblewoman; aristocrat; aristocracy
5,?,gun3,to boil; to roll; get lost (imperative); take a hike
6,??,gun4 bang4,club
5,?,guo1,"pot; pan; boiler; CL:?[kou3],?|?[zhi1]"
6,??,guo2 fang2,national defense
5,??,guo2 ji2,nationality
4,??,guo2 ji4,international
3,??,guo2 jia1,country; nation; state; CL:?|?[ge4]
5,???,Guo2 qing4 jie2,PRC National Day (October 1st)
6,???,Guo2 Wu4 Yuan4,State Council (PRC); State Department (USA)
6,??,guo3 duan4,firm; decisive
4,??,guo3 ran2,really; sure enough; as expected
5,??,guo3 shi2,fruit; gains
3,??,guo3 zhi1,fruit juice
2,?,guo4,to pass (time); to celebrate (a holiday); to live; to get along
4,??,guo4 cheng2,course of events; process; CL:?|?[ge4]
6,??,guo4 du4,excessive; over-; excess; going too far; extravagant; intemperate; overdue
6,??,guo4 du4,to cross over (by ferry); transition; interim; caretaker (administration)
5,??,guo4 fen4,excessive; undue; overly
6,??,guo4 jiang3,to over-praise; to flatter
6,??,guo4 lv4,to filter; filter
5,??,guo4 min3,to be allergic; allergy
5,??,guo4 qi1,to be overdue; to exceed the time limit; to expire (as in expiration date)
3,??,guo4 qu5,(in the) past; former; previous; to go over; to pass by
6,??,guo4 shi1,defect; fault
6,??,guo4 wen4,to show an interest in; to get involved with
6,??,guo4 yin3,to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling
6,??,guo4 yu2,too much; excessively
5,?,guo5,(experienced action marker); to cross; to go over
5,?,ha1,laughter; yawn; abbr. for Kazakhstan
6,?,hai1,oh alas; hey!; hi! (loanword)
2,?,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
3,??,hai2 shi4,or; still; nevertheless
2,??,hai2 zi5,child
6,??,hai3 ba2,height above sea level; elevation
6,??,hai3 bin1,shore; seaside
5,??,hai3 guan1,customs (i.e. border crossing inspection); CL:?|?[ge4]
5,??,hai3 xian1,seafood
4,??,hai3 yang2,ocean; CL:?|?[ge4]
3,??,hai4 pa4,to be afraid; to be scared
4,??,hai4 xiu1,blush; shy
6,??,han2 hu5,obscurity; vague
4,??,han2 jia4,winter vacation
6,??,han2 xuan1,exchanging conventional greetings; to talk about the weather
6,??,han2 yi4,meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation
5,?,han3,call; cry; to shout
6,??,han3 jian4,rare; rarely seen
4,?,han4,"perspiration; sweat; CL:?[di1],?|?[tou2],?[shen1]; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)"
6,??,han4 wei4,defend; uphold; safeguard
1,??,Han4 yu3,Chinese language; CL:?|?[men2]
4,??,hang2 ban1,scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship
6,??,hang2 kong1,aviation
6,??,hang2 lie4,procession
6,??,hang2 tian1,space flight
6,??,hang2 xing2,to sail; to fly; to navigate
5,??,hang2 ye4,industry; business
5,??,hao2 hua2,luxurious
6,??,hao2 mai4,bold; open-minded; heroic
6,??,hao2 mi3,millimeter
6,??,hao2 wu2,not in the least; none whatsoever; completely without
1,?,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)
2,??,hao3 chi1,tasty; delicious
4,??,hao3 chu5,benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:?|?[ge4]
4,??,hao3 xiang4,as if; to seem like
2,?,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number
6,??,hao4 fei4,to waste; to spend; to consume; to squander
6,??,hao4 ke4,hospitality; to treat guests well; to enjoy having guests; hospitable; friendly
4,??,hao4 ma3,"number; CL:?[dui1],?|?[ge4]"
5,??,hao4 qi2,inquisitive; curious
6,??,hao4 zhao4,to call; to appeal
1,?,he1,to drink; to shout (a command); My goodness!
6,?,he1,to scold in a loud voice; to yawn
1,?,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4
3,?,he2,"river; CL:?|?[tiao2],?[dao4]"
6,??,he2 ai3,kindly; nice; amiable
5,??,he2 bi4,there is no need; why should
6,??,he2 bing4,to merge; to annex
6,??,he2 cheng2,to compose; to constitute; compound; synthesis; mixture; synthetic
5,??,he2 fa3,lawful; legitimate; legal
4,??,he2 ge2,qualified; meeting a standard; eligible (voter)
6,??,he2 hu1,to accord with; conforming to
6,??,he2 huo3,to act jointly; to form a partnership
6,??,he2 jie3,to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled
5,??,he2 kuang4,much less; let alone
5,??,he2 li3,rational; reasonable; fair
6,??,he2 mu4,peaceful relations; harmonious
5,??,he2 ping2,peace
6,??,he2 qi5,friendly; polite; amiable
6,??,he2 shen1,well-fitting (of clothes)
4,??,he2 shi4,suitable; fitting; decent; to fit
6,??,he2 suan4,worthwhile; be a good deal; be a bargain; reckon up; calculate
5,??,he2 tong5,(business) contract; CL:?|?[ge4]
6,??,he2 xie2,harmonious
5,??,he2 xin1,core; nucleus
5,??,he2 ying3,joint photo; group photo
4,??,he2 zi5,case
5,??,he2 zuo4,to cooperate; to collaborate; to work together; cooperation; CL:?|?[ge4]
2,?,hei1,black; dark; abbr. for Heilongjiang ???|??? province in northeast China
6,?,hei1,hey
3,??,hei1 ban3,"blackboard; CL:?|?[kuai4],?|?[ge4]"
6,??,hen2 ji4,vestige; mark; trace
1,?,hen3,(adverb of degree); quite; very; awfully
6,??,hen3 xin1,callous; heartless
5,?,hen4,to hate; to regret
6,???,hen4 bu5 de2,wishing one could do sth; to hate to be unable; itching to do sth; can't wait for; to wish one could do sth; to desire strongly
6,?,heng1,to groan; to snort; to hum; to croon; humph!
5,?,heng2,horizontal; across; (horizontal character stroke)
6,?,hong1,roar of laughter (onomatopoeia); hubbub; to roar (as a crowd)
6,?,hong1,to bake; to heat by fire
6,??,hong1 dong4,sensation; stir
2,?,hong2,bonus; popular; red; revolutionary
6,??,hong2 bao1,lit. money wrapped in red as a gift; a bonus payment; a kickback; a bribe
6,??,hong2 guan1,macro-; macroscopic; holistic
6,??,hong2 shui3,deluge; flood
6,??,hong2 wei3,grand; imposing; magnificent
6,??,hou2 long2,throat; larynx
4,??,hou2 zi5,monkey; CL:?|?[zhi1]
6,?,hou3,roar or howl of an animal; bellow of rage
4,?,hou4,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
6,??,hou4 dai4,posterity; later periods; later ages; later generations
6,????,hou4 gu4 zhi1 you1,"fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning ""no worries about anything"""
5,??,hou4 guo3,consequences; aftermath
4,??,hou4 hui3,to regret; to repent
4,??,hou4 lai2,afterwards; later
6,??,hou4 mian4,rear; back; behind; later; afterwards
6,??,hou4 qin2,logistics
6,??,hou4 xuan3,candidate
6,??,hu1 lve4,to neglect; to overlook; to ignore
4,??,hu1 ran2,suddenly; all of a sudden
5,??,hu1 shi4,to neglect; to ignore
5,??,hu1 xi1,to breathe
6,??,hu1 xiao4,to whistle; to scream; to whiz
6,??,hu1 yu4,to call on (sb to do sth); to appeal (to); an appeal
5,?,hu2,pot; classifier for bottled liquid
5,??,hu2 die2,butterfly; CL:?|?[zhi1]
6,??,hu2 luan4,careless; reckless; casually; absent-mindedly; at will; at random; any old how
6,??,hu2 po1,lake
5,??,hu2 shuo1,to talk nonsense; drivel
5,??,hu2 tong4,lane; alley; CL:?|?[tiao2]
5,??,hu2 tu5,muddled; silly; confused
5,??,hu2 xu1,"beard; CL:?[gen1],?|?[liu3]"
6,???,hu4 lian2 wang3,the Internet
4,??,hu4 shi5,nurse; CL:?|?[ge4]
4,??,hu4 xiang1,each other; mutually; mutual
3,??,hu4 zhao4,"passport; CL:?[ben3],?|?[ge4]"
3,?,hua1,"to spend (money, time); flower"
5,??,hua1 sheng1,peanut; groundnut; CL:?[li4]
3,??,hua1 yuan2,"garden; CL:?[zuo4],?|?[ge4]"
5,??,hua2 bing1,to skate; skating
5,??,hua2 chuan2,to row a boat; rowing boat; rowing (sport)
6,??,hua2 li4,gorgeous
6,??,hua2 qiao2,"overseas Chinese; CL:?|?[ge4],?[wei4]"
5,??,hua2 yi4,ethnic Chinese; non-Chinese citizen of Chinese ancestry
3,?,hua4,"to draw; picture; painting; CL:?[fu2],?|?[zhang1]"
6,??,hua4 fei2,fertilizer
6,??,hua4 fen1,to divide
6,????,hua4 she2 tian1 zu2,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it
6,??,hua4 shi2,fossil
5,??,hua4 ti2,subject (of a talk or conversation); topic
6,??,hua4 tong3,microphone
5,??,hua4 xue2,chemistry; chemical
6,??,hua4 yan4,laboratory test; chemical experiment; assay
6,??,hua4 zhuang1,to put on make-up
5,??,huai2 nian4,to cherish the memory of; to think of; reminisce
4,??,huai2 yi2,to doubt; to suspect; doubt; suspicion; skeptical
6,??,huai2 yun4,pregnant; to have conceived; gestation; pregnancy
3,?,huai4,bad; spoiled; broken; to break down
6,??,huan1 le4,gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay
2,??,huan1 ying2,to welcome; welcome
4,?,huan2,to pay back; to return; surname Huan
6,??,huan2 jie2,round segment; segment (of annelid worms); connection; link; sector; annular ring
3,??,huan2 jing4,environment; circumstances; surroundings; CL:?|?[ge4]; ambient
6,??,huan2 yuan2,to restore to the original state; reduction (chemistry)
6,??,huan3 he2,to ease (tension); to alleviate; to moderate; to allay; to make more mild
5,??,huan3 jie3,to ease; to help relieve (a crisis)
3,?,huan4,change; exchange
5,??,huan4 xiang3,delusion; fantasy
6,??,huan4 zhe3,patient; sufferer
6,??,huang1 liang2,desolate
6,??,huang1 mang2,in a great rush; in a flurry
6,??,huang1 miu4,absurd; ridiculous
6,??,huang1 tang2,beyond belief; preposterous; absurd; intemperate; dissipated
5,??,huang1 zhang1,confused; flustered
3,?,huang2,yellow; pornographic; to fall through
5,??,huang2 di4,emperor; CL:?|?[ge4]
5,??,huang2 gua1,cucumber; CL:?|?[tiao2]
5,??,huang2 hou4,empress; imperial consort
6,??,huang2 hun1,dusk; evening; nightfall
5,??,huang2 jin1,gold
6,????,huang3 ran2 da4 wu4,to suddenly realize; to suddenly see the light
5,?,hui1,to wave; to brandish; to wipe away; to command; to conduct; to scatter; to disperse
5,?,hui1,ash; dust; lime; gray; discouraged; dejected
5,??,hui1 chen2,dust
5,??,hui1 fu4,to reinstate; to resume; to restore; to recover; to regain; to rehabilitate
6,??,hui1 huang2,splendid; glorious
6,??,hui1 huo4,to squander money; extravagant; prodigal; free and easy; agile
5,??,hui1 xin1,lose heart; be discouraged
1,?,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
6,??,hui2 bao4,(in) return; reciprocation; payback; retaliation; to report back; to reciprocate
6,??,hui2 bi4,to evade; to shun; to avoid
2,??,hui2 da2,to reply; to answer; the answer; CL:?|?[ge4]
6,??,hui2 gu4,to look back; to review
6,??,hui2 shou1,to recycle; to reclaim; to retrieve; to recover
4,??,hui2 yi4,to recall; recollection; CL:?|?[ge4]
6,??,hui3 hen4,remorse; repentance
6,??,hui3 mie4,perish; ruin; destroy
1,?,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:?|?[ge4]; a moment (Taiwan pr. for this sense is hui3)
6,??,hui4 bao4,to report; to give an account of; to collect information and report back
6,??,hui4 lu4,to bribe; a bribe
5,??,hui4 lv4,exchange rate
6,??,hui4 wu4,to meet; meeting; conference
3,??,hui4 yi4,"meeting; conference; CL:?|?[chang3],?|?[jie4]"
5,??,hun1 li3,wedding ceremony; wedding
6,??,hun1 mi2,to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented
5,??,hun1 yin1,matrimony; wedding; marriage; CL:?[ci4]
6,??,hun2 shen1,all over; from head to foot
6,??,hun4 he2,to mix; to blend
6,??,hun4 luan4,confusion; chaos; disorder
6,??,hun4 xiao2,to obscure; to confuse; to mix up; to blur; to mislead
6,??,hun4 zhuo2,turbid; muddy; dirty
4,??,huo2 dong4,"to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:?|?[xiang4],?|?[ge4]"
6,??,huo2 gai1,(coll.) serve sb right; deservedly; ought; should
6,??,huo2 li4,energy; vitality; vigor; vital force
4,??,huo2 po5,lively; vivacious; brisk; active
5,??,huo2 yue4,active; vigorous
4,?,huo3,fire; CL:?[ba3]
5,??,huo3 ban4,partner; companion; comrade
5,??,huo3 chai2,"match (for lighting fire); CL:?[gen1],?[he2]"
1,???,huo3 che1 zhan4,train station
6,??,huo3 jian4,rocket; CL:?[mei2]
6,??,huo3 yan4,blaze; flame
6,??,huo3 yao4,gunpowder
6,??,huo4 bi4,currency; monetary; money
4,??,huo4 de2,to obtain; to receive; to get
6,??,huo4 xu3,perhaps; maybe
3,??,huo4 zhe3,or; possibly; maybe; perhaps
5,??,ji1 ben3,basic; fundamental; main; elementary
2,??,ji1 chang3,"airport; airfield; CL:?[jia1],?|?[chu4]"
4,??,ji1 chu3,base; foundation; basis; underlying; CL:?|?[ge4]
2,??,ji1 dan4,"(chicken) egg; hen's egg; CL:?|?[ge4],?[da2]"
6,??,ji1 di4,base (of operations); industrial or military base; al-Qaeda
4,??,ji1 dong4,to excite; to agitate; exciting
6,??,ji1 dong4,"locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)"
6,??,ji1 e4,hunger; starvation; famine
6,??,ji1 fa1,to arouse; to excite
6,??,ji1 gou4,mechanism; structure; organization; agency; institution; CL:?[suo3]
6,??,ji1 guan1,mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; strategum; scheme; intrigue; plot; trick; CL:?|?[ge4]
3,??,ji1 hu1,almost; nearly; practically
3,??,ji1 hui4,opportunity; chance; occasion; CL:?|?[ge4]
4,??,ji1 ji2,active; energetic; vigorous; positive (outlook); proactive
6,??,ji1 jin1,fund
4,??,ji1 lei3,to accumulate; accumulation; cumulative; cumulatively
6,??,ji1 li4,to encourage; to urge; motivation; incentive
5,??,ji1 lie4,intense; acute; fierce
6,??,ji1 ling5,clever; quick-witted
6,??,ji1 mi4,secret; classified (information)
5,??,ji1 qi4,"machine; CL:?|?[tai2],?[bu4],?|?[ge4]"
6,??,ji1 qing2,passion; fervor; enthusiasm; strong emotion
5,??,ji1 rou4,muscle; flesh
6,??,ji1 xiao4,to sneer
6,??,ji1 xie4,machine; machinery; mechanical
6,??,ji1 yin1,gene (loanword)
6,??,ji1 yu4,opportunity; favorable circumstance; stroke of luck
6,??,ji1 zhi4,quick-witted; tact; witty; resourceful
3,?,ji2,"extremely; pole (geography, physics); utmost; top"
6,??,ji2 bian4,even if; even though; right away; immediately
6,??,ji2 bie2,(military) rank; level; grade
6,??,ji2 bing4,disease; sickness; ailment
6,??,ji2 du4,to be jealous; to envy; to hate
6,??,ji2 duan1,extreme
5,??,ji2 ge2,to pass a test
6,????,ji2 gong1 jin4 li4,"seeking instant benefit (idiom); shortsighted vision, looking only for fast return"
6,??,ji2 guan4,one's native place; place of ancestry; registered birthplace
4,??,ji2 he2,a congregation; to gather; a set
6,??,ji2 jiang1,on the eve of; to be about to; to be on the verge of
6,??,ji2 ju4,rapid; sudden
5,??,ji2 mang2,hastily
4,??,ji2 qi2,extremely
6,??,ji2 qie4,eager; impatient
4,??,ji2 shi2,in time; promptly; without delay; timely
4,??,ji2 shi3,even if; even though; given that
5,??,ji2 ti3,collective; social; team; CL:?|?[ge4]
6,??,ji2 tuan2,group; bloc; corporation; conglomerate
6,??,ji2 xian4,limit; extreme boundary
6,??,ji2 xiang2,lucky; auspicious; propitious
6,????,ji2 yu2 qiu2 cheng2,anxious for quick results (idiom); to demand instant success; impatient for result; impetuous
6,??,ji2 zao3,at the earliest possible time; as soon as possible
6,??,ji2 zao4,irritable; irascible; impetuous
5,??,ji2 zhong1,to concentrate; to centralize; to focus; centralized; concentrated; to put together
3,?,ji3,how much; how many; several; a few
6,??,ji3 yu3,to accord; to give; to show (respect)
4,?,ji4,to live (in a house); to lodge; to mail; to send; to entrust; to depend
6,??,ji4 cheng2,to inherit; to carry on; to succeed
3,??,ji4 de5,to remember
6,??,ji4 du4,"quarter (finance, publishing, schools etc); season (sports); period of three months"
4,??,ji4 hua4,"plan; project; program; to plan; to map out; CL:?|?[ge4],?|?[xiang4]"
6,??,ji4 hui4,taboo; to avoid as taboo; to abstain from
6,??,ji4 jiao4,to haggle; to bicker; to argue
3,??,ji4 jie2,time; season; period; CL:?|?[ge4]
6,??,ji4 jing4,quiet
6,??,ji4 jun1,third in a race; bronze medalist
5,???,ji4 ling3 dai4,tie one's necktie
5,??,ji4 lu4,record
5,??,ji4 lu4,record; CL:?|?[ge4]
5,??,ji4 lv4,discipline
5,??,ji4 mo4,lonely; lonesome
6,??,ji4 neng2,technical ability; skill
5,??,ji4 nian4,to commemorate; to remember; CL:?|?[ge4]
6,??,ji4 qiao3,skill; technique
4,??,ji4 ran2,since; as; this being the case
4,??,ji4 shu4,"technology; technique; skill; CL:?|?[men2],?|?[zhong3],?|?[xiang4]"
5,??,ji4 suan4,to count; to calculate; to compute; CL:?|?[ge4]
6,??,ji4 tuo1,to have sb look after sb; to entrust the care of sb; to place (hope etc) on
6,????,ji4 wang3 kai1 lai2,to follow the past and herald the future (idiom); part of a historical transition; forming a bridge between earlier and later stages
6,??,ji4 xiang4,mark; indication; sign; indicator
6,??,ji4 xing5,memory; recall
4,??,ji4 xu4,to continue; to proceed with; to go on with
6,??,ji4 yao4,minutes; written summary of a meeting
5,??,ji4 yi4,memories; remember; memory; CL:?|?[ge4]
6,??,ji4 zai3,write down; record; written account
4,??,ji4 zhe3,reporter; journalist; CL:?|?[ge4]
1,?,jia1,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:?|?[ge4]"
4,??,jia1 ban1,to work overtime
5,??,jia1 bin1,esteemed guest; honored guest
6,??,jia1 chang2,the daily life of a family
6,??,jia1 gong1,to process; processing; working (of machinery)
6,??,jia1 huo5,"household dish, implement or furniture; domestic animal; guy (slang); chap"
4,??,jia1 ju4,"furniture; CL:?[jian4],?[tao4]"
6,??,jia1 ju4,to intensify; to sharpen; to accelerate; to aggravate; to exacerbate; to embitter
6,??,jia1 shu3,family member; (family) dependent
5,??,jia1 ting2,"family; household; CL:?|?[hu4],?|?[ge4]"
5,??,jia1 wu4,household duties; housework
5,??,jia1 xiang1,hometown; native place; CL:?|?[ge4]
6,??,jia1 yao2,fine food; delicacies; delicious food
4,???,jia1 you2 zhan4,gas station
6,????,jia1 yu4 hu4 xiao3,understood by everyone (idiom); well known; a household name
6,??,jia1 za2,to mix together (disparate substances); to mingle; a mix; to be tangled up with
5,??,jia1 zi5,clip; clamp; tongs; folder; wallet
4,?,jia3,fake; false; artificial; to borrow; if; suppose
